Customer ID,Status
CUST298,At-Risk
CUST275,At-Risk
CUST289,At-Risk
CUST108,At-Risk
CUST003,At-Risk
CUST014,At-Risk
CUST046,At-Risk
CUST366,At-Risk
CUST134,At-Risk
CUST321,At-Risk
CUST301,At-Risk
CUST299,At-Risk
CUST461,At-Risk
CUST114,At-Risk
CUST497,At-Risk
CUST165,At-Risk
CUST483,At-Risk
CUST287,At-Risk
CUST105,At-Risk
CUST125,At-Risk
CUST407,At-Risk
CUST018,At-Risk
CUST055,At-Risk
CUST065,At-Risk
CUST082,At-Risk
CUST063,At-Risk
CUST288,At-Risk
CUST117,At-Risk
CUST150,At-Risk
CUST112,At-Risk
CUST019,At-Risk
CUST363,At-Risk
CUST179,At-Risk
CUST482,At-Risk
CUST408,At-Risk
CUST397,At-Risk
CUST116,At-Risk
CUST059,At-Risk
CUST001,At-Risk
CUST141,At-Risk
CUST037,At-Risk
CUST132,At-Risk
CUST175,At-Risk
CUST146,At-Risk
CUST010,At-Risk
CUST423,At-Risk
CUST143,At-Risk
CUST318,At-Risk
CUST102,At-Risk
CUST494,At-Risk
CUST472,At-Risk
CUST048,At-Risk
CUST148,At-Risk
CUST380,At-Risk
CUST075,At-Risk
CUST097,At-Risk
CUST064,At-Risk
CUST324,At-Risk
CUST136,At-Risk
CUST345,At-Risk
CUST487,At-Risk
CUST168,At-Risk
CUST079,At-Risk
CUST305,At-Risk
CUST369,At-Risk
CUST418,At-Risk
CUST444,At-Risk
CUST281,At-Risk
CUST124,At-Risk
CUST157,At-Risk
CUST072,At-Risk
CUST169,At-Risk
CUST166,At-Risk
CUST023,At-Risk
CUST031,At-Risk
CUST084,At-Risk
CUST164,At-Risk
CUST106,At-Risk
CUST452,At-Risk
CUST089,At-Risk
CUST092,At-Risk
CUST030,At-Risk
CUST427,At-Risk
CUST334,At-Risk
CUST322,At-Risk
CUST340,At-Risk
CUST383,At-Risk
CUST349,At-Risk
CUST293,At-Risk
CUST361,At-Risk
CUST094,At-Risk
CUST070,At-Risk
CUST341,At-Risk
CUST394,At-Risk
CUST291,At-Risk
CUST359,At-Risk
CUST182,At-Risk
CUST145,At-Risk
CUST115,At-Risk
CUST098,At-Risk
CUST057,At-Risk
CUST176,At-Risk
CUST078,At-Risk
CUST086,At-Risk
CUST054,At-Risk
CUST317,At-Risk
CUST332,At-Risk
CUST316,At-Risk
CUST013,At-Risk
CUST476,At-Risk
CUST050,At-Risk
CUST015,At-Risk
CUST036,At-Risk
CUST090,At-Risk
CUST160,At-Risk
CUST368,At-Risk
CUST153,At-Risk
CUST448,At-Risk
CUST083,At-Risk
CUST180,At-Risk
CUST067,At-Risk
CUST077,At-Risk
CUST411,At-Risk
CUST130,At-Risk
CUST327,At-Risk
CUST137,At-Risk
CUST088,At-Risk
#REF!,At-Risk
CUST062,At-Risk
CUST402,At-Risk
CUST171,At-Risk
CUST362,At-Risk
CUST478,At-Risk
CUST457,At-Risk
CUST481,At-Risk
CUST156,At-Risk
CUST323,At-Risk
CUST080,At-Risk
CUST113,At-Risk
CUST421,At-Risk
CUST107,At-Risk
CUST304,At-Risk
CUST101,At-Risk
CUST396,At-Risk
CUST032,At-Risk
CUST071,At-Risk
CUST292,At-Risk
CUST181,At-Risk
CUST484,At-Risk
CUST178,At-Risk
CUST346,At-Risk
CUST158,At-Risk
CUST119,At-Risk
CUST282,At-Risk
CUST314,At-Risk
CUST416,At-Risk
CUST053,At-Risk
CUST103,At-Risk
CUST100,At-Risk
CUST458,At-Risk
CUST492,At-Risk
CUST486,At-Risk
CUST144,At-Risk
CUST093,At-Risk
CUST183,At-Risk
CUST302,At-Risk
CUST352,At-Risk
CUST027,At-Risk
CUST029,At-Risk
CUST128,At-Risk
CUST110,At-Risk
CUST329,At-Risk
CUST277,At-Risk
CUST024,At-Risk
CUST360,At-Risk
CUST167,At-Risk
CUST435,At-Risk
CUST373,At-Risk
CUST131,At-Risk
CUST020,At-Risk
CUST488,At-Risk
CUST174,At-Risk
CUST441,At-Risk
CUST451,At-Risk
CUST470,At-Risk
CUST428,At-Risk
CUST140,At-Risk
CUST045,At-Risk
CUST376,At-Risk
CUST286,At-Risk
CUST056,At-Risk
CUST445,At-Risk
CUST344,At-Risk
CUST017,At-Risk
CUST389,At-Risk
CUST022,At-Risk
CUST091,At-Risk
CUST133,At-Risk
CUST052,At-Risk
CUST379,At-Risk
CUST278,At-Risk
CUST184,At-Risk
CUST433,At-Risk
CUST372,At-Risk
CUST038,At-Risk
CUST498,At-Risk
CUST170,At-Risk
CUST294,At-Risk
CUST337,At-Risk
CUST351,At-Risk
CUST135,At-Risk
CUST069,At-Risk
CUST309,At-Risk
CUST026,At-Risk
CUST021,At-Risk
CUST041,At-Risk
CUST051,At-Risk
CUST139,At-Risk
CUST333,At-Risk
CUST161,At-Risk
CUST162,At-Risk
CUST353,At-Risk
CUST012,At-Risk
CUST398,At-Risk
CUST348,At-Risk
CUST034,At-Risk
CUST008,At-Risk
CUST466,At-Risk
CUST420,At-Risk
CUST464,At-Risk
CUST319,At-Risk
CUST413,At-Risk
CUST460,At-Risk
CUST479,At-Risk
CUST151,At-Risk
CUST450,At-Risk
CUST295,At-Risk
CUST076,At-Risk
CUST096,At-Risk
CUST005,At-Risk
CUST159,At-Risk
CUST405,At-Risk
CUST129,At-Risk
CUST306,At-Risk
CUST172,At-Risk
CUST163,At-Risk
CUST002,At-Risk
