First_Purchase_Month,Order_Month,Returning_Customers
2024-01-01,2024-01-01,104
2024-01-01,2024-02-01,18
2024-01-01,2024-03-01,18
2024-01-01,2024-04-01,23
2024-01-01,2024-05-01,17
2024-01-01,2024-06-01,14
2024-01-01,2024-07-01,19
2024-01-01,2024-08-01,17
2024-01-01,2024-09-01,15
2024-02-01,2024-02-01,90
2024-02-01,2024-03-01,14
2024-02-01,2024-04-01,14
2024-02-01,2024-05-01,18
2024-02-01,2024-06-01,15
2024-02-01,2024-07-01,13
2024-02-01,2024-08-01,13
2024-02-01,2024-09-01,18
2024-03-01,2024-03-01,77
2024-03-01,2024-04-01,10
2024-03-01,2024-05-01,15
2024-03-01,2024-06-01,8
2024-03-01,2024-07-01,11
2024-03-01,2024-08-01,14
2024-03-01,2024-09-01,8
2024-04-01,2024-04-01,57
2024-04-01,2024-05-01,9
2024-04-01,2024-06-01,6
2024-04-01,2024-07-01,11
2024-04-01,2024-08-01,5
2024-04-01,2024-09-01,10
2024-05-01,2024-05-01,51
2024-05-01,2024-06-01,6
2024-05-01,2024-07-01,8
2024-05-01,2024-08-01,7
2024-05-01,2024-09-01,9
2024-06-01,2024-06-01,40
2024-06-01,2024-07-01,6
2024-06-01,2024-08-01,9
2024-06-01,2024-09-01,5
2024-07-01,2024-07-01,36
2024-07-01,2024-08-01,8
2024-07-01,2024-09-01,4
2024-08-01,2024-08-01,22
2024-08-01,2024-09-01,2
2024-09-01,2024-09-01,24
