Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
#REF!,247,1,44,2,1,1,211
CUST001,251,3,2136,2,2,4,224
CUST002,256,2,782,1,1,2,112
CUST003,204,2,675,2,1,2,212
CUST004,156,3,1080,3,2,3,323
CUST005,219,2,1020,2,1,3,213
CUST006,117,3,1859,4,2,4,424
CUST007,124,2,215,4,1,1,411
CUST008,348,3,1010,1,2,3,123
CUST009,115,4,703,4,3,2,432
CUST010,357,1,468,1,1,2,112
CUST011,176,2,1370,3,1,3,313
CUST012,273,2,1617,1,1,3,113
CUST013,354,1,33,1,1,1,111
CUST014,353,1,36,1,1,1,111
CUST015,352,1,690,1,1,2,112
CUST016,132,3,3089,4,2,4,424
CUST017,350,1,1920,1,1,4,114
CUST018,349,1,298,1,1,1,111
CUST019,348,1,192,1,1,1,111
CUST020,314,2,2553,1,1,4,114
CUST021,278,3,3657,1,2,4,124
CUST022,345,1,196,1,1,1,111
CUST023,344,1,1616,1,1,3,113
CUST024,273,2,178,1,1,1,111
CUST025,132,2,420,4,1,2,412
CUST026,218,2,1468,2,1,3,213
CUST027,340,1,225,1,1,1,111
CUST028,151,4,1381,3,3,3,333
CUST029,338,1,1264,1,1,3,113
CUST030,337,1,468,1,1,2,112
CUST031,336,1,950,1,1,2,112
CUST032,245,2,810,2,1,2,212
CUST033,99,2,837,4,1,2,412
CUST034,278,3,901,1,2,2,122
CUST035,121,2,795,4,1,2,412
CUST036,331,2,2148,1,1,4,114
CUST037,330,1,96,1,1,1,111
CUST038,271,3,2751,1,2,4,124
CUST039,179,3,3656,3,2,4,324
CUST040,110,2,1105,4,1,3,413
CUST041,326,1,1014,1,1,3,113
CUST042,104,2,1137,4,1,3,413
CUST043,157,2,1385,3,1,3,313
CUST044,170,2,445,3,1,2,312
CUST045,322,2,3157,1,1,4,114
CUST046,207,2,1614,2,1,3,213
CUST047,143,4,2267,3,3,4,334
CUST048,203,2,333,2,1,1,211
CUST049,122,2,1969,4,1,4,414
CUST050,247,3,1433,2,2,3,223
CUST051,316,2,889,1,1,2,112
CUST052,315,1,1896,1,1,4,114
CUST053,314,1,756,1,1,2,112
CUST054,313,1,361,1,1,1,111
CUST055,312,1,62,1,1,1,111
CUST056,311,2,360,1,1,1,111
CUST057,304,2,966,1,1,2,112
CUST058,157,2,1610,3,1,3,313
CUST059,308,1,980,1,1,2,112
CUST060,151,3,1464,3,2,3,323
CUST061,116,3,2899,4,2,4,424
CUST062,305,1,2265,1,1,4,114
CUST063,304,1,92,1,1,1,111
CUST064,303,2,342,1,1,1,111
CUST065,265,4,5469,1,3,4,134
CUST066,98,3,193,4,2,1,421
CUST067,300,4,1358,1,3,3,133
CUST068,97,6,2138,4,3,4,434
CUST069,298,1,570,1,1,2,112
CUST070,297,1,2080,1,1,4,114
CUST071,296,1,612,1,1,2,112
CUST072,295,1,165,1,1,1,111
CUST073,147,3,1795,3,2,4,324
CUST074,129,2,140,4,1,1,411
CUST075,292,1,772,1,1,2,112
CUST076,291,1,74,1,1,1,111
CUST077,185,3,1324,2,2,3,223
CUST078,289,1,366,1,1,1,111
CUST079,288,1,980,1,1,2,112
CUST080,220,3,1120,2,2,3,223
CUST081,150,2,1086,3,1,3,313
CUST082,208,4,1649,2,3,3,233
CUST083,206,2,648,2,1,2,212
CUST084,283,1,848,1,1,2,112
CUST085,156,5,854,3,3,2,332
CUST086,281,1,60,1,1,1,111
CUST087,122,3,1135,4,2,3,423
CUST088,266,4,1578,1,3,3,133
CUST089,278,2,870,1,1,2,112
CUST090,277,1,44,1,1,1,111
CUST091,276,1,302,1,1,1,111
CUST092,275,1,24,1,1,1,111
CUST093,187,2,1204,2,1,3,213
CUST094,243,2,360,2,1,1,211
CUST095,113,2,1110,4,1,3,413
CUST096,220,3,2817,2,2,4,224
CUST097,270,1,144,1,1,1,111
CUST098,269,1,964,1,1,2,112
CUST099,156,2,3268,3,1,4,314
CUST100,267,3,2780,1,2,4,124
CUST101,266,2,350,1,1,1,111
CUST102,248,2,1510,2,1,3,213
CUST103,264,1,396,1,1,2,112
CUST104,159,2,844,3,1,2,312
CUST105,262,2,1476,1,1,3,113
CUST106,184,2,2358,2,1,4,214
CUST107,204,2,1443,2,1,3,213
CUST108,259,1,84,1,1,1,111
CUST109,108,4,1288,4,3,3,433
CUST110,257,3,496,1,2,2,122
CUST111,102,3,3328,4,2,4,424
CUST112,255,1,891,1,1,2,112
CUST113,254,1,633,1,1,2,112
CUST114,253,2,436,1,1,2,112
CUST115,223,3,2182,2,2,4,224
CUST116,243,2,686,2,1,2,212
CUST117,250,1,1095,2,1,3,213
CUST118,158,3,2716,3,2,4,324
CUST119,248,2,1660,2,1,3,213
CUST120,140,2,123,3,1,1,311
CUST121,165,2,2888,3,1,4,314
CUST122,170,2,1320,3,1,3,313
CUST123,139,3,1098,3,2,3,323
CUST124,243,1,190,2,1,1,211
CUST125,242,2,805,2,1,2,212
CUST126,108,4,4408,4,3,4,434
CUST127,121,2,168,4,1,1,411
CUST128,239,5,1831,2,3,4,234
CUST129,238,1,1875,2,1,4,214
CUST130,237,1,484,2,1,2,212
CUST131,236,2,1068,2,1,3,213
CUST132,235,1,13,2,1,1,211
CUST133,234,1,636,2,1,2,212
CUST134,233,1,54,2,1,1,211
CUST135,232,1,175,2,1,1,211
CUST136,231,1,76,2,1,1,211
CUST137,211,2,939,2,1,2,212
CUST138,96,5,3728,4,3,4,434
CUST139,228,1,146,2,1,1,211
CUST140,227,2,706,2,1,2,212
CUST141,226,3,1630,2,2,3,223
CUST142,129,4,861,4,3,2,432
CUST143,224,1,452,2,1,2,212
CUST144,223,4,3311,2,3,4,234
CUST145,222,2,1945,2,1,4,214
CUST146,221,1,176,2,1,1,211
CUST147,155,2,559,3,1,2,312
CUST148,219,1,404,2,1,2,212
CUST149,136,3,1740,3,2,4,324
CUST150,217,1,441,2,1,2,212
CUST151,216,2,628,2,1,2,212
CUST152,166,2,278,3,1,1,311
CUST153,214,1,160,2,1,1,211
CUST154,125,3,1526,4,2,3,423
CUST155,135,2,1358,3,1,3,313
CUST156,211,2,934,2,1,2,212
CUST157,210,1,1080,2,1,3,213
CUST158,209,1,627,2,1,2,212
CUST159,208,2,2757,2,1,4,214
CUST160,207,1,944,2,1,2,212
CUST161,206,1,336,2,1,1,211
CUST162,205,3,1660,2,2,3,223
CUST163,204,2,1894,2,1,4,214
CUST164,203,1,110,2,1,1,211
CUST165,202,1,242,2,1,1,211
CUST166,201,1,866,2,1,2,212
CUST167,200,1,248,2,1,1,211
CUST168,199,2,237,2,1,1,211
CUST169,198,3,3296,2,2,4,224
CUST170,197,3,662,2,2,2,222
CUST171,196,4,1982,2,3,4,234
CUST172,195,2,1109,2,1,3,213
CUST173,127,2,1857,4,1,4,414
CUST174,193,1,896,2,1,2,212
CUST175,192,1,330,2,1,1,211
CUST176,191,3,1585,2,2,3,223
CUST177,122,4,2798,4,3,4,434
CUST178,189,2,3220,2,1,4,214
CUST179,188,2,2324,2,1,4,214
CUST180,187,2,3791,2,1,4,214
CUST181,186,2,1327,2,1,3,213
CUST182,185,3,1866,2,2,4,224
CUST183,184,2,2400,2,1,4,214
CUST184,183,1,337,2,1,1,211
CUST185,182,1,352,2,1,1,211
CUST186,158,2,1642,3,1,3,313
CUST187,180,4,1322,3,3,3,333
CUST188,174,6,5287,3,3,4,334
CUST189,104,2,2352,4,1,4,414
CUST190,143,2,695,3,1,2,312
CUST191,149,2,606,3,1,2,312
CUST192,175,1,21,3,1,1,311
CUST193,174,4,266,3,3,1,331
CUST194,160,3,1521,3,2,3,323
CUST195,172,1,708,3,1,2,312
CUST196,126,2,1517,4,1,3,413
CUST197,120,4,740,4,3,2,432
CUST198,169,1,1992,3,1,4,314
CUST199,144,3,1292,3,2,3,323
CUST200,167,2,1124,3,1,3,313
CUST201,166,1,820,3,1,2,312
CUST202,122,3,780,4,2,2,422
CUST203,164,1,669,3,1,2,312
CUST204,163,4,811,3,3,2,332
